y1_y1,y1_y2,y1_y3,y1_y4,y2_y1,y2_y2,y2_y3,y2_y4,y3_y1,y3_y2,y3_y3,y3_y4,y4_y1,y4_y2,y4_y3,y4_y4
0.5195152,-0.18138076,-0.3719161,-0.11935496,-0.18138076,0.7415899,0.42507088,0.09729124,-0.3719161,0.42507088,0.96042055,0.22144477,-0.11935496,0.09729124,0.22144477,0.45637375
6.4840446,-0.69546455,0.664408,-3.2839963,-0.69546455,0.46152708,-0.06933824,0.22204277,0.664408,-0.06933824,0.44292086,-0.57169974,-3.2839963,0.22204277,-0.57169974,2.1628046
0.5411385,0.037334964,-0.19844519,0.014022791,0.037334964,1.577438,0.49868697,-0.06257071,-0.19844519,0.49868697,0.5391345,0.027311701,0.014022791,-0.06257071,0.027311701,0.34195092
1.8055078,0.18307215,0.8633419,0.027762068,0.18307215,0.41144896,0.07882979,0.0055882,0.8633419,0.07882979,0.8105119,0.038896073,0.027762068,0.0055882,0.038896073,0.42512602
1.1289933,0.15532078,-0.51625586,-1.075995,0.15532078,0.28103876,-0.023703653,-0.031737145,-0.51625586,-0.023703653,0.46448514,0.51374656,-1.075995,-0.031737145,0.51374656,1.3803866
0.6066721,-0.28180572,0.023443684,-0.15723091,-0.28180572,0.41989553,0.07844403,0.09725465,0.023443684,0.07844403,0.28053388,-0.053645242,-0.15723091,0.09725465,-0.053645242,0.20415302
0.8242713,0.041973107,-0.10558513,-0.23237467,0.041973107,1.149558,-0.5003879,-0.27734554,-0.10558513,-0.5003879,0.47996584,0.1966521,-0.23237467,-0.27734554,0.1966521,0.44787344
0.43998027,0.14267455,0.027243994,0.032569584,0.14267455,0.23257828,0.05078876,-0.059261825,0.027243994,0.05078876,0.289665,0.013652074,0.032569584,-0.059261825,0.013652074,0.19217782
0.4372716,-0.116424315,0.15661772,-0.046889897,-0.116424315,0.3636487,-0.1623083,0.00017444757,0.15661772,-0.1623083,0.58945584,0.09046226,-0.046889897,0.00017444757,0.09046226,0.50757474
0.45499128,0.19658251,0.15384611,-0.13707097,0.19658251,0.37849304,0.35575327,-0.03000735,0.15384611,0.35575327,1.5188866,0.017007751,-0.13707097,-0.03000735,0.017007751,0.2855954
0.7438888,-0.731597,-0.37736896,0.1571444,-0.731597,1.0866917,0.50239027,-0.32183275,-0.37736896,0.50239027,1.8340163,-0.4131087,0.1571444,-0.32183275,-0.4131087,0.6818106
0.5343191,-0.17604202,-0.07391734,0.2989707,-0.17604202,0.64609724,0.13223097,-0.060625166,-0.07391734,0.13223097,0.48530975,-0.0544884,0.2989707,-0.060625166,-0.0544884,0.38565993
0.34886828,0.52993673,-0.16397199,-0.105109185,0.52993673,2.087739,-0.66721815,-0.33563694,-0.16397199,-0.66721815,0.6034065,0.20767196,-0.105109185,-0.33563694,0.20767196,0.20762257
0.7245247,0.013519852,-0.14445014,0.077817455,0.013519852,0.2672387,-0.1707877,0.06668925,-0.14445014,-0.1707877,0.6596852,-0.23397951,0.077817455,0.06668925,-0.23397951,0.4292029
0.41186467,-0.052976143,0.03771649,0.05086261,-0.052976143,0.40368435,-0.09906901,0.20540974,0.03771649,-0.09906901,0.45068341,-0.20926155,0.05086261,0.20540974,-0.20926155,1.412372
