parameter1,parameter2,parameter3
4,0,10
4.110081868,0.264865492,9.801416007
4.10258132,-0.094404051,9.791551043
4.132648848,-0.100012224,10.02047613
4.399002707,-0.533951004,10.29947402
4.48688296,-0.164837257,10.05204538
4.471250916,-0.005622857,10.19448168
4.433290562,0.042693461,10.91274855
4.63719079,0.278555553,11.00745581
4.689947663,-0.52516688,11.11666032
4.749089949,-0.493085829,10.93185421
4.7418012,0.326302037,11.05280675
4.827049332,0.128323313,10.80019023
4.884135292,-0.0373902,10.46593623
4.98541591,0.100407931,10.2622233
5.22973998,1.003946422,10.71029338
5.175198848,1.628946316,10.83309573
5.144577664,1.152424793,11.46649024
5.191674873,1.72360845,10.79379889
5.214899164,1.944505781,10.80572934
5.214899164,1.944505781,10.80572934
5.209118772,2.069699097,10.38674382
5.292741837,2.269518552,10.69439537
5.340188564,2.442756268,10.50249681
5.246842514,3.240664069,10.91739006
5.295036332,3.562117727,10.89023754
5.432912168,4.123420494,11.40823961
5.198202568,4.466773843,11.63598933
5.22311034,4.566314595,11.82017508
5.354223452,4.427670863,11.81509689
5.375646409,3.969609672,11.41762184
5.309086767,4.024355407,11.51256498
5.278243223,3.901635417,11.49267501
5.326748176,4.566674019,11.08603291
5.326748176,4.566674019,11.08603291
5.278951828,3.764503479,10.99211788
5.278951828,3.764503479,10.99211788
5.351774881,2.724094092,10.93884104
5.287032595,2.615907184,11.40828636
5.190321289,1.76389231,11.23225158
5.24053205,2.023802572,11.56622029
5.444848347,1.252010612,11.83396472
5.344451842,0.895686569,12.59974345
5.261297212,-0.0303829,12.4818524
5.261297212,-0.0303829,12.4818524
5.280143445,0.043779934,12.01215373
5.280143445,0.043779934,12.01215373
5.285238786,-0.106266811,12.23418764
5.253712099,-0.260800722,12.30925655
5.253712099,-0.260800722,12.30925655
5.11633527,-0.87350888,12.22325836
5.148194669,-0.952219149,12.11681239
5.148194669,-0.952219149,12.11681239
5.091691191,-0.553219398,12.47104015
5.10408767,-1.216040481,12.21515734
